Time (s),Thrust (kN)
0.0,16.974553193354687
0.02,16.224950530390256
0.04,16.22336890565669
0.06,16.224438385357274
0.08,16.224737593485035
0.1,16.224683236473968
0.12,16.224620888092364
0.14,16.2236929609759
0.16,16.22317072408729
0.18,16.222752701293764
0.2,16.224067820102693
0.22,16.22287301297276
0.24,16.22276784317303
0.26,16.223196675569337
0.28,16.223302978975163
0.3,16.222222165961146
0.32,16.222015041854448
0.34,16.22371617827431
0.36,16.222366447912364
0.38,16.22298891299174
0.4,16.221637471460365
0.42,16.22084778878856
0.44,16.223245545452656
0.46,16.221145179294645
0.48,16.22149058990639
0.5,16.222708844196955
0.52,16.222274420757426
0.54,16.222843464184376
0.56,16.221643879235412
0.58,16.22145479811745
0.6,16.221394937413585
0.62,16.220297531461412
0.64,16.221281210744692
0.66,16.221547438465684
0.68,16.220612602376242
0.7000000000000001,16.221523042004502
0.72,16.220715263380914
0.74,16.22058989972213
0.76,16.217699408146128
0.78,16.221822758495723
0.8,16.221335651755616
0.8200000000000001,16.21975666708891
0.84,16.219304574974434
0.86,16.2199658681722
0.88,16.219723194597638
0.9,16.219237607343548
0.92,16.21890745697929
0.9400000000000001,16.21947684250428
0.96,16.220740961599837
0.98,16.218288654987322
1.0,16.220280516345994
1.02,16.220307710050953
1.04,16.218648949957238
1.06,16.220163851296338
1.08,16.21863065048922
1.1,16.218453902908163
1.12,16.218326169784003
1.1400000000000001,16.21807672946956
1.16,16.219271608041456
1.18,16.21777056741879
1.2,16.21760361535754
1.22,16.217322359303527
1.24,16.216301049244215
1.26,16.217036611172684
1.28,16.217850779764188
1.3,16.21555232416172
1.32,16.21735474978518
1.34,16.2161756678407
1.36,16.21711687867552
1.3800000000000001,16.21580024360405
1.4000000000000001,16.21669701356149
1.42,16.21538926393427
1.44,16.214342751585324
1.46,16.21514533122066
1.48,16.216392692752436
1.5,16.214593653785847
1.52,16.215604749206836
1.54,16.21432648462566
1.56,16.215639904948247
1.58,16.215084565146995
1.6,16.213208621499128
1.62,16.2168731089611
1.6400000000000001,16.217585629528877
1.6600000000000001,16.214729704216595
1.68,16.21555754156988
1.7,16.216499938638197
1.72,16.2164535901791
1.74,16.216331395015864
1.76,16.21684573084359
1.78,16.21607582667561
1.8,16.216125241752174
1.82,16.216056575421238
1.84,16.21598347216316
1.86,16.21563807507682
1.8800000000000001,16.21697803650133
1.9000000000000001,16.215504999121215
1.92,16.215739890340288
1.94,16.2167365552034
1.96,16.215255172480937
1.98,16.21610108207218
2.0,16.215321689951644
2.02,16.21501102361521
2.04,16.213936560883912
2.06,16.212865546173468
2.08,16.213804097916388
2.1,16.212995209143696
2.12,16.214323561924413
2.14,16.2148340359489
2.16,16.21341635668198
2.18,16.212060932653323
2.2,16.2130196403913
2.22,16.211700008626114
2.24,16.2130947534925
2.2600000000000002,16.212951785160136
2.2800000000000002,16.21290720209179
2.3000000000000003,16.21267765144384
2.32,16.21424513313768
2.34,16.213443089329115
2.36,16.21248625166079
2.38,16.211408927397127
2.4,16.211330933575056
2.42,16.209384121185145
2.44,16.210144387048246
2.46,16.21043255250176
2.48,16.21066548068604
2.5,16.21055707309093
2.52,16.210087227017713
2.54,16.21067573814369
2.56,16.211285272296628
2.58,16.208566450515306
2.6,16.2101307132589
2.62,16.212486382223112
2.64,16.211103365355825
2.66,16.21193743464606
2.68,16.212220191017163
2.7,16.21212904634254
2.72,16.212000697439912
2.74,16.21186371285026
2.7600000000000002,16.211769727020748
2.7800000000000002,16.210480293824993
2.8000000000000003,16.21028558812163
2.82,16.210825050764313
2.84,16.210199461250824
2.86,16.209822618459313
2.88,16.211166359525166
2.9,16.21110312219337
2.92,16.211025141948106
2.94,16.210958574423767
2.96,16.21045595666075
2.98,16.2093799161075
3.0,16.210447724672342
3.02,16.209242196128272
3.04,16.210438094932048
3.06,16.20921208659458
3.08,16.210107096853967
3.1,16.210109908335276
3.12,16.209956523360443
3.14,16.209753944147316
3.16,16.21131242627663
3.18,16.208386955647768
3.2,16.20843001949943
3.22,16.209446862118376
3.24,16.209210071944106
3.2600000000000002,16.20916879734774
3.2800000000000002,16.209179018968154
3.3000000000000003,16.20893378321293
3.3200000000000003,16.207414324982185
3.34,16.208851417980796
3.36,16.20865953679312
3.38,16.208415697120554
3.4,16.20843750586125
3.42,16.208353751578294
3.44,16.208242239138816
3.46,16.207909593707754
3.48,16.20821450912157
3.5,16.20797670891711
3.52,16.207297439422746
3.54,16.20788642964278
3.56,16.20723743274208
3.58,16.205804820043205
3.6,16.20728161507042
3.62,16.206890740087175
3.64,16.206804014658687
3.66,16.20668769898969
3.68,16.20661329184972
3.7,16.20527660259928
3.72,16.206293339431763
3.74,16.204695426889508
3.7600000000000002,16.20618000240822
3.7800000000000002,16.2043624979551
3.8000000000000003,16.20432497028547
3.8200000000000003,16.205741724777873
3.84,16.205495510512392
3.86,16.205514820888386
3.88,16.20517466241827
3.9,16.203548475466835
3.92,16.20516607991613
3.94,16.204986441889574
3.96,16.204038776184248
3.98,16.204336399436414
4.0,16.204045232942523
4.0200000000000005,16.20413280702667
4.04,16.20264828653504
4.0600000000000005,16.203998266274517
4.08,16.20391390226463
4.1,16.203298567662525
4.12,16.203647804902957
4.14,16.20368347983752
4.16,16.204303665830356
4.18,16.203845438674968
4.2,16.20392955394112
4.22,16.20394575981712
4.24,16.203811042006652
4.26,16.20357704695688
4.28,16.20300384914085
4.3,16.20175046044398
4.32,16.203291885840002
4.34,16.202710991416996
4.36,16.202577942156932
4.38,16.202667022407763
4.4,16.200974346950826
4.42,16.2020472193531
4.44,16.201881663146917
4.46,16.20092077747505
4.48,16.201067451724786
4.5,16.201788578428822
4.5200000000000005,16.199779331263894
4.54,16.201510735844437
4.5600000000000005,16.20131920235556
4.58,16.200948199007378
4.6000000000000005,16.19997676692831
4.62,16.199862633010575
4.64,16.199715265862263
4.66,16.20095245874358
